,toxic,non-toxic
486582,"I invented the damn drink, and I own the house record in drinking them.","I invented this cocktail, and I also keep the record in his drink."
572306,No successful man wants to be photographed with a whore.,no successful man wants to be in a photo with a girl.
195694,these crazy machines murdered them!,These crackpot machines murdered them!
145627,The story with my wife... it's fucking me up.,you know what - I hate that thing with my wife.
486336,enough!... faces... ugly lies...,"The faces ... - Come, Leonal. - The wicked lies ..."
279591,"""they are useless, especially now, when they must be busy gathering their troops into the war.""","""'Tis o' no use to them, sairly now when they must be busied gathering their hosts for war."""
363637,It's so good of you to visit me and my foolish flock of hens.,it is nice of you to visit me and my flock.
38252,"I wanna see my damn kids, you know.",I want to see my kids.
508819,His friends damned near killed this whole family yesterday.,his friends almost killed Ryan's family yesterday.
162620,"Are you listening to me, asshole?","are you listening to me, man?"
269548,"I figured all this shit out, man.",I figured it all out.
418898,"Fuck you, Dewey!","come on, Dewey!"
359086,"What, you won't count the fucking beers?","what, you're not counting the beers?"
145341,You just let him die for nothing!,he allowed himself to die needlessly!
70343,shut up!,Stop talking!
143841,"You know... for when shit goes down, man.","you know how... when something happens, dude."
481325,poor Mathieu you must be crazy.,"Poor Mathieu, you are really out of condition."
410377,That's a fucking monster.,that's a hell of a monster.
433229,He's too fucking pious to be told of this change of plans.,he's very pious to tell him about this change in plans.
554654,He's a cop killer.,he murdered a cop.
397560,"damn, man!","Oh, man!"
36972,one day I'll tell my little niggas about this amazing meeting.,"Someday, l'il tell my little niños about this wonderful encounter."
468718,"A half-dozen people, including my wife, are in that building with an armed lunatic. I want them out.","half a dozen people, including my wife, are in that building with an armed nut."
82492,I don't need you goddamn babysitting for me.,I don't need you to babysit me.
466736,Those white ones down there. - Dammit...,the white one over there.
241274,"I swear, I'm gonna blow this place up.","I swear, I will blow this train sky-high."
254928,"""Then please don't ask foolish questions.","""then don't ask me anything."
137855,"you keep your guns, I keep the money, and the fucker shifts our relationship back to monogamous.","I keep the money, and, this FUBAR helps move our relationship back to monogamous."
285062,"I was stupid, thinking I was going to go, wearing a sara suit.",I was crazy to think that I was fit to wear Sara's jacket.
383297,"come on, you pussy.","Come on, you tosser!"
419558,"I don't know what you are, but you leave my wife alone, goddamn it!","I don't know what you are, but leave my wife alone!"
450115,"And still is, the bugger.","he's still, he's still."
187326,I'll calm them down until she gets fucked up.,Don't worry. I'll keep everybody calm until my backup arrives.
392418,he really pulled his finger out of his butt.,He really pulled out his finger.
428566,"Hey, you maggots, ante up 5 American.","okay, guys, I'm throwing five American guys."
345967,"you're going to be prepared by a black girl on whose name I can't remember now, you're going to be a big Puckstra girl.","I just need to date one. ♪ Yeah, yeah... ♪ Get ready, black girl from Glee Club whose name I can't remembe right now, the Puckster is about to make you his. sync by YesCool addic7ed.com"
480209,why shouldn't I stab you right now?,Why should I not run you through right now!
871,all this junk.,All that stuff.
301161,All I know for sure is you robbed banks and blew shit up and murdered at least one man.,the only thing I know for sure is that you've been robbing banks for the explosion and murder of at least one person.
157222,"Shut up, Fred.","be quiet, Fred."
525561,Shit. It's Quinn.,it's Quinn.
127723,"Shit, Folke, what the hell are we doing?","oh my God, Folke, what are we doing?"
408617,"Hornblower thought it would be difficult for him to fall in love with him, if he were foolish enough to do such a thing when he was in the Count's hands.",Hornblower thought he would not find it hard to fall in love with her himself if he were mad enough to allow such a thing to happen while his life was in the hands of the Count.
17807,that's for sticking your balls in my cup for coffee.,That's for steeping your pouch in my coffee mug!
292555,why do all religious fools come to my house to pray to my door?,Why do all the religious psychotics wind up praying at my doorstep?
146010,fool?,Imbecile?
567950,he said something about his shit.,He said something about going to get his lasers.
17261,you called her a simpleton.,You called her common.
227156,Me blathering away like a fool.,I'm escaping like crazy.
76367,give me your worst shot.,Give me your best shot.
471849,"Right over there is graveyard of camping shit, back down that house.","that's where the cemetery is for camping, down from that house."
11648,I ain't goin' anywhere with you. - Bullshit.,I'm not going anywhere with you.
211577,You can't fucking do it.,you can't do that.
154106,Psycho.,psycho...
527966,then shoot if you've got the guts!,"So fire, if you dare!"
174411,I see everything you idiots do and you don't.,I see everything you mokes do and don't do.
557928,"Well, you didn't tell me, cousin, That your plan was to go out there and blow the shit up!","you didn't tell me, cousin, your plan was to just come out there and blow it up!"
30196,"We still haven't left the garden yet, silly.",we're still in the garden.
81029,"Damn. They look like the girls from the ""Candy Shop"" videos.","hell, they look like cats from ""Candy Shop"" videos,"
445570,sounds like a rookie thief to me.,Looks to me like it's a robbery by a first-timer.
24718,is it so hard to believe I don't want this shit?,Is it that hard to believe that I don't want any?
197462,Then I don't give a shit what you do.,then I don't care what you do.
232125,I am sick as hell of you constantly making a mess of this house and having to clean up after you.,"I'm sick of being messy...... in the house, and I have to clean up after you."
13253,you're screwing Alex.,You're ruining it with Alex.
13736,it's a fucking machine gun.,"It's a bad machine gun, man."
317907,Executed criminals were hung in chains in marketplaces and left to rot until the bodies fell through the chains.,the executions of criminals were hung in chains on the market and there were gradually decaying until the remains of the body fell out of the shackles.
207267,Where the fuck am I?,where the hell are we?
382142,I'm sick of all the fucking responsibility.,I'm sick of my responsibilities.
125552,it was useless.,He was no use.
486413,this lousy dirty Thrak hall against four in the arena.,This sad piece of Thracian survived against four men in the arena.
157855,"When you go to one of those doctors... do you jerk yourself off, or does the doctor jerk you off?","if you go to a doctor like that, do it yourself, or will he hunt you down?"
491623,"Lucky for me, the cute, dumb one let me out.","luckily for me, lovely, mute one let me out."
1372,I won't be able to... find a damn thing.,otherwise I won't be able to find anything.
239634,"listen, damn it!","Listen, everybody!"
575058,so you should be sure you want to shoot the gun.,So you better be sure you want the weapon to fire.
291936,Don't let them suck you into their...,don't let them drag you into their...
127288,Shit. I only took 400 bucks.,I only took 400 bucks.
84410,"what the hell are you doing here, man?","Huh? What are you doing here, man?"
173376,This is just another example of why Yellowstone is our country's greatest National Park. Son of a bitch!,this is just another example of why Yellowstone is our biggest national park.
173510,"""walk and shut up,"" I said.","""Just keep walking,"" I sighed."
273490,"And ... you don't even have a gun, which is a good thing, or else I'd stick your yanqui ass in a Mexican prison where you can eat shit for all I care.","you don't even have a gun, which is your only luck, or I'd have put you in jail, and I didn't care."
494609,"if you didn't force me to be friends here with King Scorpion and all his stupid questions, my tape could still be there!",This is your fault! If you hadn't tried To force me to be friends with the scorpion king
373521,Gimme! Fuck it!,give it up!
390629,"Bobby knew that the few who couldn’t warp their bodies to fit the subcultural template were best avoided; a short Gothick was trouble, a fat Gothick homicidal.","Bobby knew perfectly well that the few Gotians, who had failed to adapt their bodies to what subculture required, avoided the others in a better way."
5752,Fall into the nothingness that awaits you and your master. WITCH-KING:,fall into nothingness that awaits you and your master.
21091,a good death is a reward for yourself.,A good death... ...is its own reward.
383888,"""To the kitchen, pussies!""","""to the kitchen, kisses!"""
551356,hit it.,Punch!
283582,I'm such a klutz. I get so nervous when I gamble. I'm so silly.,"I get nervous when I play, I'm a goose."
528483,Rise up against the bloody Red Queen.,rise against the accursed Heart Queen!
11012,The recumbent troll looked up in amazement.,the Troll-troll looked up in astonishment.
240858,"if I keep you in the team, will you shoot me?","If I keep you on my squad, are you gonna pull my chain?"
45568,"Why we gotta play them damn boo-boos again, man?","why do we have to play games again, man?"
116757,he's gonna die because he was in the wrong place at the wrong time.,He was going to die because he'd been standing in the wrong place at the wrong time.
163356,Lawrence sure as shit can't!,Lawrence won't tell you!
512620,I like to make a fool of myself and think of something to read.,I like to fool myself into thinking they read some of the things I put up here.
548986,"it says, ""How to hold your junk.""","This says ""How to Handle Your Dangler."""
288455,"She walked broodful, her head down, her hair hooding her face, brown legs kicking at refuse the undermanned garbage detail hadn't picked up.","she was brooding with her head lowered, her hair covered with her face, her brown feet digging into the garbage, which was not picked up by the garbage-disposal squad, which involved a lack of workers."
82226,goddamn brakes!,My brakes!
461023,Ass-blaster blitzkrieg.,a blietzkrieg.
22479,the Fool stared at the long tips of his boots.,The jester stared at the trailing toes of his shoes.
322044,She's not gonna tell the cops that her husband was... fucking...,I'm sure she didn't tell the cops her husband was...
511946,"if we continued to drain the water, we would kill them all.","If we had continued to remove that water, we would have destroyed them all."
515795,You ain't got the balls!,you don't have it!
139676,"This is gonna sound really stupid, but... I think if I worked out of my apartment... The world might forget who I am.","it's going to sound rather silly, but... I think if I were working in my apartment, the world might have forgotten who I am."
323038,All I want is two fat bitches and some cheeseburgers so Cheeco can lick on them and two years' supply of rolling paper.,I'd like two puppies that smell like cheeseburgers... and Cheeco would have picked them up...... and a stock of toilet paper for two years.
47252,Tortured her in his basement for days before killing her.,he tortured her in his basement four days before he killed her.
55208,Shoot him up with one of these puppies instead.,give him this puppy instead.
539281,"Damn it, I'm supposed to be perfect!","hell, I'm supposed to be perfect!"
120332,is there like a dagger in her hand that will kill me?,Is there a dagger such as this in her hand for me?
494639,"In this lighting, man, oh, man, you look disgusting.","in this light, oh my God, you look terrible."
363083,What the hell do you think that I do?,what do you think I'm doing?
453883,"and they say, ""Sure, Mom, fuck off.""","And they'll say, ""Oh, mother, stand aside"""
336930,you have a traitor in the Old Town.,You got yourselves a spy in Old Town.
102231,who the fuck is thinking?,Who thinks like that?
152453,It's a waste of fucking words.,it's a shame to waste your words.
471689,"I've been standing on one leg for three damn years, waiting for God to do me a favor.","I've been on this leg for three years, and I'm waiting for God to meet me over there."
366986,"You're goddamn right, Zolo.","that's right, Zola."
371804,"Shit, man, half the people be soldiers today, RUF tomorrow.","half the people are soldiers today, and tomorrow will be RUF."
356932,"if he ends up in the cops, I'm screwed.","If it ends up with the police, I'm in a fix."
422466,Can't fucking be Wendell Hatch man.,it couldn't be Wendell Hatch.
162022,typhoid.,Typhoid fever.
492068,"Barrett, stop screwing around.","Barrett, stop scratching around back there."
122897,"listen, we just wanted you to hang out with her for one night, have some good moments and then send her to hell.","Listen, you were only supposed to go out with her one night, show her a good time, and then get the hell out of her life."
423500,'Cause sometimes love makes you do stupid things.,because sometimes love makes you crazy
334604,"these are barbaric nomads, fully cut off from Western civilization.","Oh, please! Those are Berber nomads. Completely cut off from Western civilization."
414232,Stop screwing around!,stop skimming!
29369,"Except for the supervisor, Ho Wing Keung, but he's now insane","except for the Inspector, Ho Wing Keung, but he's in a mental institution now."
52785,"God damn it, Jason, will you stop this?!","for God's sake, Jason, can you just stop this?"
442712,"Jesus fucking Christ, Eric.","oh, my God, Eric."
77289,And don't you ever fuckin' believe... that anyone-- anyone anywhere-- is gonna fuck with us.,"and don't you dare to believe that anyone, anyone, anywhere, is going to raise us."
478446,It's a huge pumpkin with a pathetic moustache drawn on it.,it's a big pumpkin with woefully painted moustaches.
227398,"it looks like the damn rotor ran all over the neighborhoods like big water, but I think we're almost there.","Looks like that dang rotor rolled all the way Through the neighborhood like a wagon wheel, But I think we're closing in on it."
11013,"thieves, fire, murder!",RADAGAST: Thieves! Fire!
569226,It's over- I don't remember askin' you a goddamned thing!,I don't remember asking you anything.
5454,"this time your song was different, much more pathetic and more shrill.",Your song was different this time... much more plaintive and piercing.
574954,"I'm flattered, Nikopol, wretched human.","I'm flattered, Nikopol, the human troika."
231853,"the government is evil, the rebels are worse.","Government bad, rebels worse."
372769,who's the pervert in our Huvmee now?,Who's the sicko in our Humvee now?
270958,"hey, you Stalin bitches.","Hey, you, Stalin's sidekick."
68726,It's either him or junk/Fergie.,either that or Junk / Fergie.
224580,Jesus freak with a fish on his truck.,"just a poor guy, with a picture of the fish on his car."
71058,Who the fuck are you looking at?,who are you looking at?
144794,I got Mac in my corner. Fuck that.,I'll have Mac there.
198469,"I'm wiping my ass for a long time, if the paper is clear.",I wipe my bottom for a long time. 'Til the paper's clean.
308002,"shut up, Isabel.","Quiet, Isabel."
384212,you're crazy!,You've gone mad?
543397,I can destroy you.,to destroy.
84879,"You broke his damn ankle, Jack.",you broke his ankle.
462328,The little white motherfuckers with the laces.,a little white joke with the shoelaces.
220232,"Clearly, the idea of the two of you getting married is ridiculous.","obviously, one of two ideas and that make you married is absurd."
113652,"like this... ruddy face, eyes of a madman.",Like this... his face all red... his eyes buggin' out...
565759,you can settle down on a tree and act like monkeys.,Maybe you can settle down in a treehouse and raise some monkeys.
30874,"what are you gonna do with it, damn it?",What are you going to do with that?
54079,"when that bastard comes out, if you know what I mean.","In case a turd floats up, if you know what I mean."
357811,MAN: Get the fuck out of the road!,get the hell out of the road!
190238,Putting his hands on your bare legs!,he put his hands on your feet
377759,"what are you doing here, dummies?",What are you doing?!
206870,Damn! Get it down.,get it down!
42116,Get out of the fucking car!,get out of the car!
1549,I'll better piss off home. Get some dinner to those bloody kids of mine.,"I better get out of the house, get my kids something to eat."
287558,"no, you fucking guy!","No, you salad!"
123788,We'il take him down to pine barons before they build a fuckin'condo here.,we'll pull him out and take him to Pine Barrens before they can find him.
526761,"Like... ...""Hey, man, how's the ground down there?"" and shit.","like...... ""Hey, what's going on down there?"""
519745,I hate this shit!,I hate it when they do that!
427351,I'm tired of nice people sitting around talking and complaining while the bad guys get to do whatever the fuck they want.,I'm tired of these nice nice people talking and complaining while the bad guys do what they want out there.
249634,"but she married the stupidest guy, and the baby she had with him was me.",She married the most unspectacular person you could imagine... ...and gave birth to me.
346177,"A man is willing to lay his life down for his country, you best let that man have a goddamn drink.","the guy is determined to put his life on the ground, so let him drink it."
152300,"""Oh, shut up!","""hey, be quiet."
185798,"It's such a disaster, this fucking night.","this is a disaster, a cell this night."
202376,fuck off!,Goto hell!
173078,I told you she is sick.,I said you were sick.
386947,your husband is a total jerk.,Your husband's... kind of a hole.
353313,"No, I don't want any goddamn salad.",I really don't want a salad.
504399,Shut it off!,stop it!
392841,"There were many others, some even more foolish.","there were plenty more, and some even crazier."
484953,a lot of people out there want to destroy you.,From the people out there who want to destroy you.
320073,"Yet the last ones often die surprisingly hard, screaming in low, miserable voices at the back of the brain.","in addition, the very last dreams often die surprisingly hard, teeth keeping alive and quiet, losing props squeak in the back of the brain."
294964,"Wharton retreated to the bunk, his cock still hanging out of his pants, put his hands out to me, palms up, then beckoned with his fingers.","Wharton stepped back to the bunk, his bird still dangling from his pants, putting his hands to my hands, palms up, then his finger wagging on my finger."
35692,"You're gonna go out there, you're gonna put your helmets on, buckle your chinstrap, and hand out 38 ass-whoopirs!","you go out there, you put on your helmets, you pull the pads on and you score them 38 points."
491152,"I fucked vampires in high school, while Miss Perfect was marrying Newlin.",Started fangbanging right outta high school while Little Miss Perfect's marrying Steven Newlin.
20783,look at Lois that's why cats fuck me up.,That's why cats freak me out.
404198,"ass, spleen and stuff like that.",Anus and spleen and all that stuff+
379776,"I know if you're at a party where she doesn't know anyone, and she doesn't have anything to do with anyone there, she can be a pain in the ass.","I know when you're at a party where you don't know anyone, and you have nothing in common with anyone, it can be a real drag."
257113,You're just supposed to help this guy die.,you should only help him lighten up on dying.
354565,If you're able to call back... ...because the 3-hour batteryyou got only lasts for 20 fucking minutes.,if you can get ahold of it...... because a three-hour battery will last 20 minutes.
84232,"he was unlucky to be married to an annoying, bad woman.",He had had the misfortune to marry a tiresome and temperamental wife.
263739,"Henry, screw it!","Henry, quit it!"
102643,"""Take that dick""?","""here it is?"""
285624,"well... hell, woman.","Good...god,woman."
517732,We need him to shoot again.,I want him fired again.
392851,You could fuck us out of our money and then hide behind Eleanor?,"you gonna take our money, and then you can hide behind Eleanor?"
347961,"I guess I was thinking my foot hurt. I mean, the idiot stepped right on it.",I guess I was thinking he broke my leg because he stepped right on top of me.
106916,If I had money do you think I'd be in this crappy dump?,do you think I'd be in such a nasty dump if I had money?
400319,How the fuck would you know?,how would you know?
357121,"Tell me you're not having sex with her, too.",please don't tell me you're sleeping with her.
451265,All of which make the X3 look like a village idiot in a family of geniuses.,"and next to them, X3 looks like a village oven in a family of geniuses."
227323,"if you don't want to die, come back.","Yeah, all right, You don;t want to die, get back!"
191599,so I hope you don't expect shit from me today!,So I really hope you a\xA1n't expect\xA1ng sh\xA1t from me today!
147252,"greedy bastards, I thought my father was bad, but apparently some despotic ones could never be pleased.parents could never be commuted.","Ithought my dad was bad, but apparently some despotic parents can never be pleased."
439272,"ambulatory sex, do you call?","Sexual ambulance, did you say?"
576111,What the fuck took so long?,what took you so long?
163405,"Axl's butt was so bad, he had to crawl around the front of the room.",Axel's hindquarters were so bad he had to drag himself room to room by his front legs.
40830,I know where the bastard sleeps ...,but I know where he sleeps...
67704,so many Hebrews are very dangerous.,Too many is dangerous.
422346,"we don't need any damn handcuffs, Fletcher thought.","We don’t need no steenkin handcuffs, Fletcher thought."
76086,"When she realized that she was in the clutches of the black pirates, she attempted to take her own life, but one of the blacks tore her dagger from her, and then they bound us both so that we could not use our hands.","when Dejah Thoris became aware that she was at the mercy of the black pirates, she tried to take her own life, but one of the black ruffians spotted it on time, snatched the dagger out of her hand and bound her hands behind her and me."
241424,"Mary, I'd be a lousy bastard if I hadn't invited him.","Mary, I would have looked an awful clod not to have asked him."
129252,he wants to fuck you?,Is he gonna do you?
274716,"Wait, that means a flat ass like an ant?","wait, what does the flat look like?"
300634,"I mean, I've fucked him a couple of times, but that's it.","I've slept with him a few times, but that's all."
102524,I feel like the old Indian in front of the garbage.,I feel network An old indian for all the debris.
109917,we'll burn you up and start you.,We'll get you paired Up and get started.
566161,there's a lot of ways in this town... how to get killed if you want to.,"Hey, there's all kinds of ways to get killed in this city, if you're looking for it."
424910,But I was just a girl with a severely fucked-up family.,but I was just a girl with a few wrong families.
356284,"You can't tell me those poor bastards would deliberately let the shrinks find out something that'd get them fired!""","you're not going to tell me that poor people would willingly let a shrink know something about what they might be fired for! """
417632,"ladies and gentlemen, spit in your hands.","All right, ladies and gentlemen, it's pucker time."
35076,"This television is a piece of crap, just like in Russia.","this television is a crackdown, it's like in Russia."
411640,They enjoy themselves in stupidities.,they relish their blunders.
259394,you treat that lesbian thing a little too far.,You're taking this lesbian thing a little far.
193880,"In three hours, we have to declare him brain-dead.",we have John Doe for three hours to declare him.
75161,"Elaine, do you ever understand half the shit this guy says?","Elaine, do you ever understand something this guy says?"
570307,stupid natural selection.,Screw Natural Selection.
244165,Just get us in and then keep them off your ass.,just get us in and keep them away from your body.
105841,I really think you are and always will be a scatterbrain.,I really think you're gonna be stubborn forever.
483993,someone should release their pussy out...,Someone needs to let the cat out of the bag...
528687,"Yeah, well, complacency scares the shit out of me.","yeah, well, complacency frightens me."
66360,Love will make you do some fucked up things.,love makes you do crazy things.
279071,How about fucking Arthur?!,how about Arthur?
529846,"What kind of dirtbag doesn't stand by his best friends, but instead sides with some self-righteous bitch with a pointless cause and a megaphone? Dude.","what kind of unorder would not be worth his best cable, and instead he was behind a self-conscious cow, with a no-nonsense cable and a megaphone?"
143189,you seem ridiculous..... .When I pose..... .A big one..... .Try?,"Do you find it ""wisible""... when I say the name... Biggus... Dickus?"
299380,I curse you for eternity.,Will curse hanging over you forever.
552063,Fucking Christ.,"oh, my God."
186800,"Mario, don't be a fool.","Maria, don't be crazy."
198349,"Andy, nobody cares that you're a virgin.","Andy, nobody cares about being a virgin."
35410,The one you called 'disgusting' only three weeks ago yesterday. . . .,"the one you called ""nasty"" three weeks ago..."
502966,"When Silver hears the signal, he clears his mind, he concentrates, whatever the fuck, when he thinks he knows the answer, he presses the corresponding number he think the guy has sent.","when he hears him, he clears his mind, concentrates, or anything like that, and when he thinks he knows the answer, he pushes the same number he thinks he sent."
71245,it was rough and dirty and hellish sexy.,It was rough and messy and sexy as hell.
248022,beautiful tits.,Tits like howitzers.
467734,we're not gonna shoot porn.,We're not making a porno at all.
134089,you want me to gut you?,Do you want me to disembowel you?!
246904,"What are you lookin' at, bitch?","what are you looking at me for, punk?"
152592,It's not certain that anything's wrong. -Fuck.,not sure there's anything wrong.
416449,are they all retarded?,Are they all challenged?
485602,"my dad said, ""screw you,"" if you feel itchy, you smile when you're unhappy.","Scratch when you're itchy, Smile when you ain't lucky!"
414713,I don't give a fuck if your dad built the pyramids.,I don't care if your father built pyramids.
482874,"""You have real talent, but you must reach, goddamn it"".","""you have talent, but you have a hell of a lot of work to do."""
86528,you're practically an old maid.,Almost an old maid.
519179,but I'm not gonna let you die... until I fuck you.,But I won't let you die... until I've had you.
65577,good. 'Cause you're gonna rot in your place for the rest of your life.,"Good, because you'll be inside your entire life."
243475,Who is this motherfucker?,who's the redhead?
488827,"It's a good thing you play the guitar, because you suck at basketball.","I'm glad you can play the guitar, 'cause you're a full-on basketball player."
391748,No son of mine is gonna be a goddamn AIDS monkey.,no son of mine is going to get AIDS.
350702,who did you fuck this time?,Who did you piss off this time?
452039,I can't stand in a shelter where he can find that drunken buffoon at any time.,I can't stand to be in the shelter where my drunken jack-in-the-box can appear at any moment.
88548,I figured you'd be in Wilder Hall sucking beers with Susie Sorority.,I think you were in Wilder's lobby and you were drinking beer with Susie Sorority.
139152,"Kaplan...... don't die on me, man.","Priest? We're not dying here, man. - Come on."
534348,"I kept saymg, Shit, Jefferson, here it is.","I kept thinking, ""Hell, Jefferson, it's here."
438708,"Pathetic, wasn't it?""","awkward, isn't it?"
176744,Loser!,lost!
250628,this pussy's my cousin.,I think this chick's my cousin.
79319,"you think you can just suck on our turf, cook my baby, keep on my friend's check, and you'll get away with it?","You think you can step into my 'hood, slinging game at my girl... ...drinking my boy's brew,and expect not to be scrapping directly?"
410559,"Randall, I think that your pancreas may be infected.","Randall, the spleen can be infected."
329423,Beat up people or took their shit if they couldn't pay.,people beat up or take their valuables when they can't pay.
347680,"""Shot four different times, once through the neck... this is one tough bastard.""","""he was shot four shots."" One went through his throat... but he had a stiff neck."
518166,"come on, fool!","Come on, Jester!"
11296,it's even more funny if you turn your butt up with two cats.,Even more fun is tying two cats together by the tail...
276417,What the fuck you talking about?,what are you saying?
359356,"Bitch, remember when you out to kill that dragon with them dwarves...?","woman, remember when you went to kill the dragon?"
270859,Can't this damn thing go any faster?,can't this thing go faster?
299766,because there are dozens of secret places in Disneyland where young people can masturbate together.,"Because at Disneyland, there are dozens of secret places for young people to give each other hand jobs."
74474,The woman treated worse than a dog,the woman is treated worse by the dog.
26824,She's always fucking drinking!,she drinks all the time!
193596,"they must both be dead, he thought.","They both ha( to be dead, he thought."
140800,"shit, ever since your parents split up, you have an old man wrapped around your finger.","Gosh, ever since your parents split up, you have your dad wrapped around your little finger."
339428,"I felt just as stupid, leathery, and reversible as any newborn creature.",I felt as dazed and shy and tremble-legged as any other newborn creature.
89326,"if he wears boxers or bald asses, is that clear?","Uh, if he wears boxer shorts or butt-huggers, you got me?"
486855,what an asshole.,What a badass.
113615,"and if you think you're gonna tie me up, you're gonna cut me up, and you're gonna shoot me with an air freshener in my face, it's gonna bring us closer, so you were right, Emily.","And if you think tying me up and drugging me and spraying air freshener in my face are gonna make our family closer, then you were right, Emily."
236797,"I saw the bastards getting rich, I looked at my paytape and thought it was twisted.","I saw these villains getting rich. Looked in my wage packet, thought, ""Something's skew-whiff here."""
226059,I feel like a fool.,I feel like I'm insane.
237136,I thought he was a clown who used to have kids.,Thought he was the clown meant to entertain the kids.
377343,everybody shut up!,"Everybody, quiet!"
294035,And I don't know shit about where Mara's gone to.,and I don't know where Mara is going.
412191,why all this damn snooping?,Why all the bloody needle?
219947,"Not only can he lose all his money, we can get our fucking throats cut.","it's not just he loses all the money, but it can cost us all."
324,Burn it all!,you burn everything!
542716,"Bitchazoid, right, guys?","Kravoid, huh, guys?"
159850,"the fat guy's locked up, so it's hard to be him.","The big guy's in lockdown, so it's hard to figure him for a police informant."
234898,bitch!,Hussy!
532876,"I had a show down in Texas, got off the plane and shit, walked up looking for racism.","I had a show in Texas, I got out of the plane and I was looking for racism."
458651,You flirted with that jerk all night.,you were flirting all night.
222239,"If the Examiner doesn't have the balls to run it, we scoop the Bay.","if the Examiner doesn't have the guts to print it, we'll blow it."
544295,When are you gonna learn to keep your big mouth shut?,when do you learn to keep your mouth shut?
476652,he died as a traitor!,He died a punk!
54235,Now give me this shit!,now give it to me!
489465,Tomorrow they will all be dead. Allah be praised.,tomorrow all those will be avenged.
73180,"if so, his men will be easily shot, wherever they may be.","If they did, his men could be picked off easily wherever they hid."
464244,fucking say something!,"Goddammit, say something."
86030,he's a sexy monster.,He's the Hot Ness Monster.
13747,and this bitch is also from an accident on a playground.,And that bad boy right there is also from a jungle-gym accident.
458189,I thought you were fucked a long time ago.,I thought you went crazy a long time ago.
567609,"6 Article 21 of that directive, entitled ""Damned representatives,"" provides:","6 Article 21 of that directive, entitled ‘Claims representative’, provides:"
421073,talk and maybe I'll save your neck.,"You talk, I think I can save your life."
52425,"honey, your father is dead.","Honey, your father's dead. It's terrible."
193505,"his right side stood a lot more alert than the left-handed, and the result was that he was as dirty as a banana.","His right side stood considerably more to attention than his left side and, as a result, he was standing like a banana."
265472,what the hell are you doing?,What's the matter with you chowderheads?
398368,part of you will die with him.,Part of us dies with him.
362407,why? Is he gonna call me a pussy?,You gonna call me a chicken?
253406,It's like sucking my life right out of me,it's like being sucked in my life.
332923,"man, you want to die?",Man wants to die ?
516005,"Is that how you fuck, huh?",is that what you do?
250898,"Mike, they killed that girl last night.","Mike, this girl got killed last night."
181790,Why the hell would you do that?,why would you do that?
121458,Yes? CASTEAU: Every morning I make two cooks like you in the toilet.,I'm doing better every morning in the bathroom.
193136,"go ahead, screw your dad, 'cause I promise you'll be sorry.",Abandon my father and you'll be sorry.
309557,"You thought you could turn me into your personal lapdog, like Orson.",did you think you'd make me a house dog like Orson?
61804,He killed it tonight.,tonight he's killed.
542730,Or somebody reached down his throat and ripped 'em out.,or there was someone reaching out and ripping them out.
523157,murder from the vicar's wrath.,Murder at the Vicar's Rage.
466675,If I see one truck or one aeroplane or one policeman... ...or one soldier or one person... ...we'll mow these kids down.,"if I see a car, a plane, a cop, a cop or whatever, we'll take the kids down."
499781,"Joseph Buquet, keep your mouth shut.","Joseph Buquet, hold your tongue"
71553,Best shit ever.,best hits ever!
371108,"damn, that's Doberman.","Oh, it's Doberman."
435203,"Live sucks right now. Ivy, if you ever need to talk...","Ivy, if you ever need to talk..."
569406,you're crazy for licks.,The nuts make you nuts.
481298,"You wouldn't hear, 'cause you're a freak with a microphone.","and you wouldn't hear it, 'cause all you care about is a microphone."
259602,I would have kicked them instead of helping them.,otherwise I would have kicked them instead of helping them.
461200,I forgot the fucking anchovies.,So I forgot your anchovies.
222574,Let it be extinct.,let it be lost.
329030,He wouldn't let you look at him or talk to him when you're having sex.,you weren't supposed to watch him or talk to him.
463925,you mean fucking?,Oh that? You mean bang ng?
191976,"Coming in here, keeping your mouth shut.",you come here and keep silent.
518243,"Lucifer, you're my brother and I love you, but you are a great big bag of dicks.","Lucifer, you're my brother and I love you, but you're a great big bag of birds."
20577,"You best hope they don't find you... 'cause if they do, they're gonna kick your asses.","and you better hope they don't find you, because if they do, they're gonna make you laugh."
350733,"Derrown, known simply as the exterminator.","""Derrown."" Known simply as the Headmaster."
454902,"no, it's silly.","No, that's crazy."
367235,"They tried Polish on Billy Pilgrim first, since he was dressed so clownishly, since the wretched Poles were the involuntary clowns of the Second World War.","it was at first that he and Billy had tried in Polish, since they were so jested, since poor Poles were the unsanctioned chess of World War II."
191692,If we hed good legs we'd beat you all the wuss.,"if we had healthy feet, we would have beaten you worse."
273384,"They'll probably be eaten by fucking wolves, or freeze to death.","but in the meantime, the wolves will eat them, or they'll freeze to death."
228523,You said you didn't give a shit about your hubby.,you said your husband was stolen.
502138,"His tone added: Don’t fuck with me, Fred.","and his tone added: Don't play with me, Fred."
530699,"So then Mrs. Lazarus says after the jury got sequestered, one of the other jurors, a redneck motherfucker, announced to everybody:","so, Mrs Lazarus told me that when the jury was taken to the act one of them, the village swine told everyone:"
443406,what the hell is wrong with you?,What's wrong with you?
347460,"Because, let's face it, every time a guy meets a girl he wants to check out her breasts.","because, let's see, each time a man meets a woman wants to check her chest."
455966,"You know, if you want me to be scared... ...you know, I'll do my damnedest.","if you want me to be scared, you should do it."
